Iter:     1 | Loss: 1.9359308 | Acc train: 0.4864865 | Acc validation: 0.5405405
Iter:     2 | Loss: 1.8541811 | Acc train: 0.4864865 | Acc validation: 0.5405405
Iter:     3 | Loss: 1.7598119 | Acc train: 0.4864865 | Acc validation: 0.5405405
Iter:     4 | Loss: 1.6461335 | Acc train: 0.4864865 | Acc validation: 0.5405405
Iter:     5 | Loss: 1.5124572 | Acc train: 0.4864865 | Acc validation: 0.5405405
Iter:     6 | Loss: 1.3943640 | Acc train: 0.4864865 | Acc validation: 0.5405405
Iter:     7 | Loss: 1.2851089 | Acc train: 0.4864865 | Acc validation: 0.5405405
Iter:     8 | Loss: 1.2057050 | Acc train: 0.4864865 | Acc validation: 0.5405405
Iter:     9 | Loss: 1.1434404 | Acc train: 0.4864865 | Acc validation: 0.5405405
Iter:    10 | Loss: 1.0912161 | Acc train: 0.4864865 | Acc validation: 0.5405405
Iter:    11 | Loss: 1.0487058 | Acc train: 0.4864865 | Acc validation: 0.5405405
Iter:    12 | Loss: 1.0260906 | Acc train: 0.3513514 | Acc validation: 0.4054054
Iter:    13 | Loss: 1.0238941 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    14 | Loss: 1.0455999 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    15 | Loss: 1.0900261 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    16 | Loss: 1.1791570 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    17 | Loss: 1.2298014 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    18 | Loss: 1.2050421 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    19 | Loss: 1.1962532 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    20 | Loss: 1.1657529 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    21 | Loss: 1.1413836 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    22 | Loss: 1.1043002 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    23 | Loss: 1.0783254 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    24 | Loss: 1.0652161 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    25 | Loss: 1.0513534 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    26 | Loss: 1.0383454 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    27 | Loss: 1.0266065 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    28 | Loss: 1.0160653 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    29 | Loss: 1.0091409 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    30 | Loss: 1.0019298 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    31 | Loss: 0.9946718 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    32 | Loss: 0.9867709 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    33 | Loss: 0.9781833 | Acc train: 0.9279279 | Acc validation: 1.0000000
Iter:    34 | Loss: 0.9655876 | Acc train: 0.7297297 | Acc validation: 0.8378378
Iter:    35 | Loss: 0.9504738 | Acc train: 0.5495495 | Acc validation: 0.5405405
Iter:    36 | Loss: 0.9327853 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    37 | Loss: 0.9144178 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    38 | Loss: 0.9007612 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    39 | Loss: 0.8920472 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    40 | Loss: 0.8893975 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    41 | Loss: 0.8800537 | Acc train: 0.5135135 | Acc validation: 0.4594595
